idx,att1,random_string,random_int
0,0.0,'WDONDEDQRQ',-7950961253814826985
1,0.5,'JXFGJYNVOB',-6795150994238256578
2,1.0,'XSHPPXNHWL',-8237946115888371718
3,1.5,'MHGXQFAPJV',4817871675992484221
4,2.0,'QKKKPUMEDR',1498792149198606955
5,2.5,'RMRIAGUNII',2623269890892257171
6,3.0,'TTLRBNKYMD',2515373855560490949
7,3.5,'KKQSUSVSAN',-5549105818739639085
8,4.0,'DDQMXQRQPT',-6524684218392025994
9,4.5,'TUUPRDGNSP',-7357483393703370101
10,5.0,'MEEIMESLPY',5900019457640018392
11,5.5,'XKMJREYWAJ',-3308177511985534038
12,6.0,'HBDMHJAIJF',2402165408648807550
13,6.5,'STSYTWFVCV',8335312184525019805
14,7.0,'VQYGTMAXQB',3006552318784498162
15,7.5,'XRYCACJSBS',-7137718153820201449
16,8.0,'XOTEGWSSHL',1815376781332213280
17,8.5,'JNGVTLGIAR',-6963315424638822677
18,9.0,'SQQSPBYEUD',1352996649267487135
19,9.5,'QXBWTJBPKV',-7854107815859816131
20,10.0,'EAKUKYEALO',8733598333406837597
21,10.5,'VKVBMSJRHL',-305595467506851601
22,11.0,'VUGBXTWERL',3384915997036155861
23,11.5,'WLJSNMXKPD',5393622647692345552
24,12.0,'TCXTEOXIIR',1572304055868440787
25,12.5,'HEGGBAMOFB',-5239536956588289187
26,13.0,'RNXGELAPCQ',-1749278823921853809
27,13.5,'RYJMNKYBWF',4986188317884825611
28,14.0,'DNJDWGVDJX',4816389663431624908
29,14.5,'PDMLJTJJCA',5592471076873337225
30,15.0,'RUJOPHPYBU',-1620814906772744467
31,15.5,'OXIMNBWNUY',3620380762543195582
32,16.0,'QNWUMIOAMW',-7349266154204866981
33,16.5,'DJBYYRDATU',-1039485774272127398
34,17.0,'VDEJEFQGAT',-8973547092130837182
35,17.5,'YVOFBKNHJA',-3758224751759832638
36,18.0,'XIGTQKYTBX',-8077293511034246450
37,18.5,'QJNBETFCBS',2850904435312893325
38,19.0,'LBGFPQAFIN',-6005366593084801578
39,19.5,'IHNSHBBVXF',6684440145770699069
40,20.0,'GVDOGEXCCG',5028550875743913290
41,20.5,'HMRSKEPNCP',-9201734920305227072
42,21.0,'PURGBHUTFV',4156267258697812943
43,21.5,'NGYKDWAOWG',4771355604855562838
44,22.0,'RPOGPDLVXW',-5038737766839523332
45,22.5,'LQHFWDCFII',5363391231030079908
46,23.0,'HMGMPFPIYI',280314097682460552
47,23.5,'XWSWRLPSNO',-8664951964288902954
48,24.0,'PFWUHMBNTB',7726965980733623531
49,24.5,'HVFPBOIABE',8398939482220184305
50,25.0,'YMMVKSRAKW',726676812206773203
51,25.5,'STGGXHFCYH',6823051178588640729
52,26.0,'KAMNLIHWIX',3333458393275863146
53,26.5,'TJJLBHBKUL',-1685464212215699951
54,27.0,'ERKEDHARIW',6999904608823731026
55,27.5,'LBRHHDOOFD',-198488355804473719
56,28.0,'VBPXMCMSDY',-2863305946435154005
