idx,att1
0,'- WMKAAUITUU'
1,'IWDWXXUWIR'
2,'LCJSROQWRD'
3,'IWIIRPDPFR'
4,'XOKMOAJLWP'
5,'QUKXYCAQQK'
6,'MPGYVNVENU'
7,'GEYYRJBJVP'
8,'INEANBGJSY'
9,'CLAYRNRFOF'
10,'KSVOKAJWIU'
11,'YAQYKXTAOY'
12,'KUPMOPWXUT'
13,'LUMSRKEDAR'
14,'QVJXDHARJN'
15,'WACHIUBVCC'
16,'GJNGJKYHVO'
17,'YCOSQYVBOH'
18,'SWBOQIVHFH'
19,'NUUJDOPWXW'
20,'- FRGSFKBHMP'
21,'NMIVBHXKAE'
22,'RPEIKCCWBG'
23,'GYCMYVTUOK'
24,'WBWJLLIQAO'
25,'YAERFWDSOU'
26,'TKCTAJYHQX'
27,'PQCRSJFUYT'
28,'PKERLCGFGL'
29,'DICOYDNYBT'
30,'QVYTNNCPRY'
31,'OMYRVJLWDD'
32,'OVQQOAVEMJ'
33,'FXDLHUPUKM'
34,'PHUYPIHGTM'
35,'GPQJSHSMSM'
36,'UTYKHIAJJN'
37,'CKNNPCYMYT'
38,'WJQXMLGULO'
39,'JUWOWAVGYK'
40,'- JKBHQGNXOC'
41,'HJFYPFPDJR'
42,'JPFMQSQNHE'
43,'CISKKQSBNY'
44,'JFYYRXJMPV'
45,'WLPHYWXQWA'
46,'FTJLEOCEEJ'
47,'DIYXBNVCWB'
48,'VPBJQIQXHJ'
49,'PRLHWRQQKX'
50,'GCWFWNPRSA'
51,'DFFWRLONTH'
52,'OKIFNCBCVN'
53,'MBQCMFFBGW'
54,'BWNKMLYUGQ'
55,'WKRXTHUOUV'
56,'GCMBTNCWQB'
57,'SLAMLKLWWD'
58,'QCLDQCOCWP'
59,'LQFHBCVJJJ'
60,'- YJINSBKUGS'
61,'ATPUNQOPIR'
62,'ITLDOSCYNF'
63,'DNILENGPKJ'
64,'NKAWYOAVOR'
65,'MVVLSWEFQD'
66,'JETRSHRPIK'
67,'YQSNYSWNXF'
