idx,att1,random_string,random_int
0,A,'ODMLAAATEQ',-1432500436722751156
1,B,'GFDBNKPVTK',-2722442352629231179
2,C,'VJABDOFGDJ',5863645591000871441
3,D,'VUTHHGGFGQ',-3094567929957716532
4,A,'IKETJFTWIJ',-6867334547138626093
5,B,'JLTSTEYIMK',-1720542248225588537
6,C,'RJPQYROJHV',8261356444906721969
7,D,'MYXVINPKJD',5919167204439894891
8,A,'XJXQYJISJT',-6172189371492220262
9,B,'NRCYHJKNMX',-712284207009093042
10,C,'CGNUEDVKKB',6875257331792838089
11,D,'PDQQCYPQGV',-1221840839901523188
12,A,'ATSENRLLEG',-7316885636407884633
13,B,'XRNSKTMJXH',-7858427173348940862
14,C,'PRLSBXVLYF',-1303796183722162371
15,D,'PGBVAXBBJH',-1061782936046436128
16,A,'XHSNBOCQAK',1362678338167785321
17,B,'OFDLFMOHJM',5449648145402912033
18,C,'VCMLEWVAOL',-8601905283435717611
19,D,'ABOVTATNDL',6266921611084084388
20,A,'LADQLTOYFH',-8007544511056833526
21,B,'FNJFTENPOC',9061750940172414681
22,C,'JBWPPTQNTS',-3879019306506045564
23,D,'KTDEULGSID',5361228858363010284
24,A,'IOQNEASTTP',-2481184505857662798
25,B,'RQEYXAIYDR',3727002708295980576
26,C,'JDQLBREAPC',-7847468401911710093
27,D,'OWDLTOOOBG',-4908066154429515316
28,A,'PRPVUGMUNT',4035337762941784921
29,B,'PDJSUBEJJG',7594796921535351247
30,C,'XQLXBAABYY',-1277625252766079288
31,D,'WEKXMQIYBF',-3126987278157980907
32,A,'GAWWMXKVHS',-1811026245918492369
33,B,'XCQCOAFIUA',-5283873761962921618
34,C,'BJYDGDLCJD',3771944396291370391
35,D,'CSSTUFJXPY',1856350712652122840
36,A,'BKKXSGYKWV',-7841239024328376356
37,B,'NGMSOFRWQQ',4949445648066467853
38,C,'NMLQKULWFO',-715189345821455438
39,D,'KTAXNQYRBA',1294580012212128238
40,A,'MLFMAUIAQL',-7511845034656681901
41,B,'PFBSXRFWHH',4181292308840819068
42,C,'CUGUSAEOLQ',-7174753834181933377
43,D,'CWUITWNBOR',8251016669239430515
44,A,'JCYJCBTTSM',-2503556025177380309
45,B,'IMUVUHLSFH',-7658736184968541192
46,C,'FLGIRIPEEP',2940614408465534270
47,D,'JHDYTVFCFI',8601181073906804310
48,A,'VARYSJJPLH',6922890961478676381
49,B,'KFDLCBYLJX',1789510721552323197
50,C,'AVOADWAOQC',5105478387413437051
51,D,'TWLTACTHKT',-6009651501027072380
