idx,att1
0,A
1,B
2,C
3,D
4,A
5,B
6,C
7,D
8,A
9,B
10,C
11,D
12,A
13,B
14,C
15,D
16,A
17,B
18,C
19,D
20,A
21,B
22,C
23,D
24,A
25,B
26,C
27,D
28,A
29,B
30,C
31,D
32,A
33,B
34,C
35,D
36,A
37,B
38,C
39,D
40,A
41,B
42,C
43,D
44,A
45,B
46,C
47,D
48,A
49,B
50,C
51,D
52,A
53,B
54,C
55,D
56,A
57,B
58,C
59,D
60,A
61,B
62,C
63,D
64,A
65,B
66,C
67,D
68,A
69,B
70,C
71,D
72,A
73,B
74,C
75,D
76,A
77,B
78,C
79,D
80,A
81,B
82,C
83,D
84,A
85,B
86,C
87,D
88,A
89,B
90,C
91,D
92,A
93,B
94,C
95,D
96,A
97,B
98,C
99,D
100,A
101,B
102,C
103,D
104,A
105,B
106,C
107,D
108,A
109,B
110,C
111,D
112,A
113,B
114,C
115,D
116,A
117,B
118,C
119,D
120,A
121,B
122,C
123,D
124,A
125,B
126,C
127,D
128,A
129,B
130,C
131,D
132,A
133,B
134,C
135,D
136,A
137,B
138,C
139,D
140,A
141,B
142,C
143,D
144,A
145,B
146,C
147,D
148,A
149,B
150,C
151,D
152,A
153,B
154,C
155,D
156,A
157,B
158,C
159,D
160,A
161,B
162,C
163,D
164,A
165,B
166,C
167,D
168,A
169,B
170,C
171,D
172,A
173,B
174,C
175,D
176,A
177,B
178,C
179,D
180,A
181,B
182,C
183,D
184,A
185,B
186,C
187,D
188,A
189,B
190,C
191,D
192,A
193,B
194,C
195,D
196,A
197,B
198,C
199,D
200,A
201,B
202,C
203,D
204,A
205,B
206,C
207,D
208,A
209,B
210,C
211,D
212,A
213,B
214,C
215,D
216,A
217,B
218,C
219,D
220,A
221,B
222,C
223,D
224,A
225,B
226,C
227,D
228,A
229,B
230,C
231,D
232,A
233,B
234,C
235,D
236,A
237,B
238,C
239,D
240,A
241,B
242,C
243,D
244,A
245,B
246,C
247,D
248,A
249,B
250,C
251,D
252,A
253,B
254,C
255,D
256,A
