idx,att1,random_string,random_int
0,A,'FRAPMCHENQ',4079514206413076948
1,A,'HIKMEUJBQL',7515014904663207713
2,A,'WNHQROBOWP',-5732317655859725773
3,A,'WGPFIMVCBX',-1302262224874113143
4,A,'VROCRYCDIT',6599717639966027395
5,A,'HUYOCIUSLR',8997867356050560441
6,A,'OVUXHDCKLQ',1395465744764319136
7,A,'JDLABPRKSW',-5180952410317667838
8,A,'MASQAXCWQR',-4221014697832000265
9,A,'SBAOHEHSQY',2283992430571063953
10,A,'YNOPMRSAAY',449007897869732419
11,A,'CLGWJBBJAA',5284752291557121459
12,A,'QJILKEBLGY',3386641314592970875
13,A,'PPQVXCDKVK',-6273400444362676614
14,A,'VDVNCSHQHA',7086566494667860584
15,A,'ANVVASLQQM',8397889021470313174
16,A,'YMDKJWWEJY',-4962590905726799929
17,A,'SNEFMJJCXI',-7557453850153747863
18,A,'LMNGJTFUGW',4504491874605091885
19,A,'YIHLAOEYCS',-5004389183124838587
20,A,'SNXMXGWPJF',2606480155996144471
21,A,'XNVONLOIKI',-8702932326366478766
22,A,'ULRQMPRXKM',3395601078324408664
23,A,'LFIRMTLRNF',7988402551314421004
24,A,'VJIFMTBFCV',-1400164636095829794
25,A,'OXNYPSSYVB',1880452791691413277
26,A,'LNGAUOAYOH',-8299839249760317847
27,A,'RDUSLHHAQW',-3178300785718675907
28,A,'UWORVYKYFX',-888624185545936507
29,A,'BQUXBEQSBA',745865032543159349
30,A,'ANYRRPPEEC',-7480250434686181359
31,A,'HHAMNDSMPK',3376334427881672963
32,A,'YALCEDQOUT',-4986034781481577945
33,A,'IMMDWYCGOT',-9027462483970580723
34,A,'KGUXURLIMD',-6987516909125054284
35,A,'OKPNDIVLDN',3905071387806842168
36,A,'EGOPSKVYQF',-5713924357417097253
37,A,'HXPNNIFBRR',-287051182397453
38,A,'VPHKUYSRPW',6310207008542892130
39,A,'AJJIPGWODD',-7785752529174972781
40,A,'CQJLNNNEEO',3496852740856318823
41,A,'PFAJRDRFEC',-8658084891360996392
42,A,'INSYXUYNLC',-3170901195242153158
43,A,'CFVBTHWVAX',7086386213054060759
44,A,'BEKAFGLINF',-5081165385852780063
45,A,'PIXBYKTQIW',-465935058063944008
46,A,'QCGVDBQXBP',-2833961195633215493
47,A,'PSUBXPJTCE',6337670701162485424
48,A,'XOJGOGDXCI',6576821084816690083
49,A,'CEPDWXMOFI',1867397582727554414
50,A,'SLKWNCQLTB',4103365355083858327
51,A,'HOMKDCCTYC',7126511629304692871
52,A,'BYTLTCAEES',-4495486981869896230
53,A,'GBJOYWDQSF',406584650832024185
54,A,'SRAYXCDSGT',3973481256971599990
55,A,'WYIGHKMYGN',-9116462207282136174
56,A,'MEYVIWQVNF',-6754533414985000038
57,A,'PEIUKXCNKM',2368060264280673750
58,A,'GQCODPJHEM',-4930597934769244508
59,A,'WPLMXUPQCB',-2286625350344274078
60,A,'WJFFRJYQQO',-2308091976818335781
61,A,'IWCHTDXRIS',-7963861818293541820
62,A,'IYAPFLKMKD',-8936122847521377778
63,A,'RESCJNNYTW',-8200617259480205661
64,A,'ODHAYADXVU',4122206272855736480
65,A,'LKSHBOLJVA',6747510294921432454
66,A,'XHAPYHUJMR',-1728721142967834129
67,A,'UEAXCSOBGT',7657128315120430679
68,A,'HLCLVMHHJU',8554923778363142731
69,A,'JAGDNRLOKF',-8238022260340722014
70,A,'GBUWUASAHC',2834135737423428802
71,A,'AILLYXQLVY',-1614312724833516354
72,A,'RLGWHJEACU',3358579059724663411
73,A,'KBLETSDDBW',3960108001284901970
74,A,'WWVUNITPGE',-3826385017083687976
75,A,'XKHUMIVFOA',-3252456738015846406
76,A,'VYYEALXNTN',9007224470516327651
77,A,'IADNOWDFLD',-7950661304095002073
78,A,'BWTBNESYDD',3443806315843368684
