idx,att1
0,'BXKHQNHFKW'
1,'JETGBREMWW'
2,'AOXXTHUDLD'
3,'RHWPWKTYWU'
4,'PTJFQTQHDR'
5,'FTBRIVMPJN'
6,'CYVPJYCUVV'
7,'FGJFSAOKTC'
8,'SQDGRKHJAF'
9,'HSUPAJFEIH'
10,'HFRMKMCPFT'
11,'TMDQQMHQHV'
12,'RXBOJHCWHB'
13,'PDIMDWOBRC'
14,'MFGFWPAAPR'
15,'IHFGBEVACW'
16,'ICLCSITOQH'
17,'QLTYOCWSMX'
18,'RQNOHTONFB'
19,'RIINWUAYEV'
20,'XCHUQKNOBA'
21,'BJANFNFGDH'
22,'GWRQJYAUJG'
23,'WTNIFLQNUM'
24,'NLCDBHJPVA'
25,'LVORKLETFG'
26,'USYOYOCROS'
27,'NOLPGJSLIE'
28,'EBRUJPSSPN'
29,'TEEIGPRWKG'
30,'NFVVODLYXR'
31,'QVJSUTHIOD'
32,'RTSDRTTSNY'
33,'FEKAVHAEAW'
34,'AWOMEXDJBS'
35,'NGTCNRYHMY'
36,'IWXVEDFXKV'
37,'BGSGAPHFGY'
38,'KDKSNYBBAT'
39,'QOYGTRKAKK'
40,'BWTNIDBCIM'
41,'DRDYMGEGXH'
42,'JVCTAQWQDW'
43,'DNVEXOMCCI'
44,'PFKLFKIUAG'
45,'CMLSMTFPLV'
46,'BCNXXVQHMQ'
47,'YEKIGSQIGH'
48,'HKWMXBSDCS'
49,'PWFAEFQIHV'
50,'EAWJKFDAOH'
51,'AUQWXPLFPK'
52,'JYXOKLDSSK'
53,'SNKABKFMCF'
54,'RVBWLHOXTL'
55,'EIHTHWAXRX'
56,'LUUQFKSBFB'
57,'ODFQSVYABM'
58,'BYFGQRHOBI'
59,'OWVTPPUDXE'
60,'BSBGCWXMLC'
61,'AUCHCKEVBH'
62,'DPXSETEWCT'
63,'ANDGCHIRXW'
64,'IVYIWXGMRS'
65,'KSUSFUASXC'
66,'SRWTHRGIUK'
67,'VCLMEXVEEY'
68,'RXAEHBROXH'
69,'AIKCBNNGYU'
70,'YRXOFUOQKS'
71,'EDKIBRXMHY'
72,'ICNKMKQABI'
73,'JMTTUGFGSR'
